,channels,delivery_method,show_map,user_type,has_logo,org_facebook,sale_duration,sale_duration2,num_ticket_type,median_ticket_cost,total_tickets_sold,nan_delivery_method,nan_org_facebook,nan_num_ticket_type,nan_median_ticket_cost,payout_type_CHECK,payout_type_MISSING
0,5,0.0,1,1,0,0.0,29.0,33,3.0,50.0,0,False,False,False,False,0,1
1,0,1.0,0,3,1,0.0,28.0,28,2.0,35.0,25,False,False,False,False,1,0
2,8,1.0,0,3,0,0.0,54.0,54,1.0,93.51,48,False,False,False,False,1,0
3,6,1.0,0,3,1,0.0,0.0,0,6.0,13.5,58,False,False,False,False,0,0
4,11,0.0,0,3,0,0.0,63.0,63,8.0,92.5,39,False,False,False,False,1,0
5,6,0.0,1,1,1,0.0,65.0,65,4.0,11.0,37,False,False,False,False,1,0
6,5,1.0,1,3,1,0.0,35.0,35,5.0,117.13,36,False,False,False,False,0,0
7,12,0.0,1,3,1,18.0,21.0,21,1.0,14.0,57,False,False,False,False,0,0
8,4,0.0,0,3,1,0.0,33.0,38,1.0,250.0,14,False,False,False,False,0,0
9,12,0.0,1,3,1,18.0,28.0,28,1.0,14.0,64,False,False,False,False,0,0
10,8,1.0,0,3,1,0.0,16.0,19,2.0,36.98,33,False,False,False,False,1,0
11,10,1.0,0,3,0,8.0,27.0,27,1.0,30.0,21,False,False,False,False,0,0
12,8,1.0,0,4,1,0.0,71.0,75,4.0,116.665,7,False,False,False,False,1,0
14,11,0.0,1,3,1,17.0,51.0,51,2.0,112.5,58,False,False,False,False,1,0
15,6,0.0,1,3,1,13.0,56.0,61,1.0,10.0,237,False,False,False,False,1,0
16,6,0.0,1,3,1,13.0,32.0,33,1.0,10.0,186,False,False,False,False,1,0
17,5,0.0,1,1,1,0.0,19.0,19,1.0,10.0,3,False,False,False,False,1,0
18,11,1.0,0,4,1,0.0,185.0,185,1.0,474.08,8,False,False,False,False,0,0
19,6,1.0,1,3,1,0.0,19.0,51,4.0,185.0,281,False,False,False,False,0,0
20,6,1.0,1,3,1,0.0,38.0,46,35.0,7.0,1551,False,False,False,False,0,0
21,5,0.0,1,3,1,16.0,27.0,27,1.0,100.0,1,False,False,False,False,1,0
22,5,0.0,1,3,0,0.0,19.0,19,1.0,50.0,5,False,False,False,False,1,0
23,8,1.0,0,3,1,29.0,35.0,35,1.0,9.4,23,False,False,False,False,1,0
24,6,0.0,1,3,1,19.0,27.0,30,2.0,17.5,97,False,False,False,False,1,0
25,8,1.0,1,3,1,16.0,46.0,46,1.0,50.0,2,False,False,False,False,0,0
26,11,0.0,0,3,0,0.0,0.0,0,2.0,250.0,2,False,False,False,False,0,0
27,5,1.0,1,3,1,10.0,34.0,35,1.0,8.46,599,False,False,False,False,1,0
28,11,1.0,1,4,1,15.0,100.0,100,7.0,1589.64,4,False,False,False,False,0,0
29,5,0.0,1,4,1,0.0,16.0,16,2.0,25.0,67,False,False,False,False,0,0
30,0,1.0,0,4,0,0.0,13.0,35,3.0,32.08,484,False,False,False,False,1,0
31,12,0.0,0,3,1,9.0,13.0,150,4.0,10.0,69,False,False,False,False,0,0
33,5,1.0,0,4,1,0.0,47.0,70,4.0,46.26,8,False,False,False,False,0,0
34,8,1.0,0,3,1,0.0,26.0,26,4.0,20.0,36,False,False,False,False,0,0
35,8,1.0,0,3,1,10.0,21.0,24,1.0,64.81,125,False,False,False,False,0,0
36,11,0.0,1,1,1,0.0,38.0,38,5.0,30.0,12,False,False,False,False,1,0
37,11,1.0,1,3,1,8.0,60.0,60,10.0,52.63,266,False,False,False,False,1,0
38,5,0.0,0,3,1,16.0,9.0,9,1.0,15.0,109,False,False,False,False,0,0
39,11,1.0,1,4,1,26.0,120.0,128,4.0,70.26,65,False,False,False,False,1,0
40,8,3.0,0,3,1,0.0,68.0,68,3.0,0.0,54,False,False,False,False,0,0
41,8,0.0,0,3,1,0.0,12.0,12,5.0,25.0,14,False,False,False,False,0,0
42,8,0.0,1,3,1,6.0,18.0,18,1.0,0.0,20,False,False,False,False,1,0
43,11,0.0,1,3,1,0.0,0.0,0,4.0,45.0,1,False,False,False,False,1,0
44,6,1.0,1,3,1,0.0,36.0,36,2.0,11.25,2,False,False,False,False,0,0
45,11,0.0,0,1,1,0.0,61.0,61,3.0,0.0,55,False,False,False,False,0,0
46,11,0.0,1,3,1,0.0,97.0,97,1.0,5.0,1,False,False,False,False,0,0
47,6,0.0,1,1,1,0.0,24.0,24,4.0,45.0,26,False,False,False,False,0,0
48,8,0.0,0,3,1,26.0,49.0,49,1.0,41.54,26,False,False,False,False,1,0
49,6,0.0,0,4,1,0.0,66.0,66,1.0,10.0,9,False,False,False,False,1,0
50,11,0.0,1,3,1,11.0,56.0,81,1.0,46.26,30,False,False,False,False,0,0
51,6,0.0,1,1,0,0.0,132.0,132,13.0,35.0,9,False,False,False,False,1,0
52,11,1.0,0,3,1,0.0,49.0,70,6.0,76.5,92,False,False,False,False,0,0
53,13,0.0,1,3,0,13.0,53.0,53,1.0,5.93,33,False,False,False,False,0,0
54,11,0.0,0,1,1,0.0,6.0,6,1.0,500.0,0,False,False,False,False,0,0
55,8,1.0,1,3,1,0.0,219.0,219,3.0,112.5,8,False,False,False,False,0,0
56,6,1.0,1,3,1,13.0,56.0,56,1.0,10.0,84,False,False,False,False,1,0
57,5,0.0,1,3,1,35.0,47.0,47,3.0,0.0,84,False,False,False,False,0,0
58,8,1.0,0,3,1,0.0,71.0,71,4.0,10.0,8,False,False,False,False,0,0
59,12,0.0,0,1,1,0.0,17.0,17,2.0,10.0,28,False,False,False,False,0,0
60,5,0.0,1,3,1,35.0,28.0,28,5.0,0.0,38,False,False,False,False,0,0
61,6,0.0,1,3,1,0.0,13.0,13,7.0,15.0,491,False,False,False,False,0,0
62,11,1.0,0,4,1,0.0,62.0,63,16.0,74.61,803,False,False,False,False,1,0
63,6,0.0,1,4,1,20.0,8.0,8,1.0,12.85,2,False,False,False,False,0,0
64,5,0.0,1,1,1,0.0,8.0,8,1.0,35.0,34,False,False,False,False,0,0
66,5,0.0,1,1,1,40.0,34.0,34,1.0,30.0,2,False,False,False,False,0,0
67,5,0.0,1,4,1,0.0,42.0,42,1.0,15.0,4,False,False,False,False,0,0
68,6,0.0,1,4,1,0.0,10.0,10,1.0,5.0,1,False,False,False,False,0,0
69,8,1.0,1,4,1,0.0,25.0,25,2.0,10.0,39,False,False,False,False,0,0
70,13,0.0,0,1,1,35.0,20.0,65,1.0,30.0,0,False,False,False,False,0,0
71,8,0.0,1,3,0,0.0,36.0,36,1.0,8.46,9,False,False,False,False,1,0
72,8,0.0,1,3,1,10.0,71.0,74,1.0,8.46,7,False,False,False,False,1,0
73,6,0.0,0,1,1,20.0,100.0,100,2.0,15.545,4,False,False,False,False,0,0
74,12,0.0,1,1,1,0.0,16.0,16,1.0,10.0,6,False,False,False,False,0,0
75,12,0.0,1,1,1,0.0,22.0,22,1.0,10.0,5,False,False,False,False,0,0
76,10,1.0,1,3,1,16.0,8.0,45,1.0,22.63,38,False,False,False,False,1,0
77,11,0.0,1,4,1,0.0,20.0,20,4.0,6.875,2,False,False,False,False,0,0
79,11,1.0,1,3,1,0.0,21.0,21,1.0,8.75,2,False,False,False,False,0,0
80,0,0.0,1,1,1,0.0,14.0,14,1.0,250.0,30,False,False,False,False,0,0
81,8,0.0,0,4,1,0.0,0.0,0,2.0,35.0,2,False,False,False,False,1,0
82,8,3.0,1,3,1,0.0,15.0,15,2.0,10.0,43,False,False,False,False,0,0
83,9,1.0,1,3,1,0.0,281.0,281,6.0,117.5,243,False,False,False,False,0,0
84,0,0.0,0,3,1,0.0,0.0,0,1.0,4112.55,1,False,False,False,False,0,0
85,6,0.0,1,4,1,0.0,29.0,29,1.0,10.0,4,False,False,False,False,0,0
86,11,0.0,1,3,1,0.0,28.0,32,1.0,35.0,28,False,False,False,False,0,0
87,10,1.0,0,3,0,11.0,48.0,48,3.0,119.95,2,False,False,False,False,0,0
88,5,0.0,1,1,1,0.0,44.0,44,2.0,17.5,40,False,False,False,False,1,0
89,8,1.0,1,3,1,48.0,114.0,114,1.0,245.76,9,False,False,False,False,0,0
90,8,1.0,1,3,1,0.0,158.0,158,2.0,1294.7,1,False,False,False,False,0,0
91,8,0.0,1,3,1,12.0,58.0,58,2.0,37.5,1,False,False,False,False,0,0
92,0,0.0,0,5,1,0.0,1.0,1,1.0,250.0,1,False,False,False,False,0,0
93,0,1.0,1,3,1,0.0,50.0,140,5.0,0.0,130,False,False,False,False,1,0
95,6,0.0,1,3,1,0.0,55.0,55,3.0,12.0,77,False,False,False,False,1,0
96,6,0.0,1,4,1,11.0,9.0,9,4.0,14.0,12,False,False,False,False,1,0
97,5,1.0,0,1,0,0.0,22.0,22,4.0,750.0,198,False,False,False,False,1,0
98,11,1.0,0,3,1,5.0,3.0,3,1.0,0.0,15,False,False,False,False,0,0
99,8,0.0,1,4,1,0.0,46.0,46,2.0,17.5,10,False,False,False,False,0,0
100,5,1.0,1,3,0,0.0,22.0,22,1.0,45.31,17,False,False,False,False,1,0
101,11,1.0,1,1,1,0.0,113.0,113,14.0,0.0,80,False,False,False,False,0,0
102,11,0.0,1,3,1,13.0,28.0,28,1.0,13.18,57,False,False,False,False,1,0
103,6,0.0,0,3,1,0.0,41.0,41,16.0,22.5,5,False,False,False,False,0,0
104,5,0.0,1,1,1,0.0,10.0,10,1.0,15.0,3,False,False,False,False,0,0
105,11,1.0,1,4,1,0.0,45.0,49,6.0,0.0,118,False,False,False,False,0,0
106,8,0.0,1,4,0,0.0,38.0,38,1.0,15.0,25,False,False,False,False,1,0
108,5,1.0,0,1,1,0.0,27.0,30,1.0,15.0,17,False,False,False,False,1,0
109,5,1.0,0,3,1,12.0,35.0,35,5.0,25.0,22,False,False,False,False,0,0
110,6,1.0,1,3,0,18.0,270.0,270,1.0,49.99,9,False,False,False,False,0,0
111,8,0.0,0,3,1,0.0,49.0,57,1.0,183.28,1,False,False,False,False,0,0
112,0,0.0,1,3,1,0.0,15.0,15,1.0,3.73,10,False,False,False,False,0,0
113,5,0.0,1,3,1,19.0,26.0,26,2.0,15.875,6,False,False,False,False,0,0
114,8,0.0,1,3,0,0.0,145.0,147,1.0,52.87,3,False,False,False,False,0,0
115,5,0.0,1,3,1,0.0,13.0,13,4.0,17.0,6,False,False,False,False,0,0
116,11,0.0,1,3,1,0.0,16.0,16,2.0,37.5,141,False,False,False,False,1,0
117,0,0.0,1,4,1,0.0,30.0,30,1.0,4.05,29,False,False,False,False,0,0
118,11,1.0,1,3,1,0.0,86.0,99,3.0,40.0,49,False,False,False,False,0,0
119,11,0.0,1,4,1,0.0,38.0,39,1.0,90.53,15,False,False,False,False,0,0
120,8,1.0,1,3,1,17.0,15.0,15,3.0,0.0,277,False,False,False,False,0,0
122,11,1.0,1,3,1,0.0,52.0,55,2.0,169.0,14,False,False,False,False,0,0
123,6,1.0,1,3,1,0.0,24.0,25,1.0,13.45,28,False,False,False,False,0,0
