,label,channels,delivery_method,show_map,user_type,has_logo,org_facebook,sale_duration,sale_duration2,event_created_to_end,num_ticket_type,median_ticket_cost,total_tickets_sold,nan_delivery_method,nan_org_facebook,nan_num_ticket_type,nan_median_ticket_cost,payout_type_CHECK,payout_type_MISSING
26,Fraud,11,0.0,0,3,0,0.0,0.0,0,0,2.0,250.0,2,False,False,False,False,0,0
38,Not Fraud,5,0.0,0,3,1,16.0,9.0,9,9,1.0,15.0,109,False,False,False,False,0,0
41,Not Fraud,8,0.0,0,3,1,0.0,12.0,12,12,5.0,25.0,14,False,False,False,False,0,0
43,Not Fraud,11,0.0,1,3,1,0.0,0.0,0,0,4.0,45.0,1,False,False,False,False,1,0
54,Fraud,11,0.0,0,1,1,0.0,6.0,6,7,1.0,500.0,0,False,False,False,False,0,0
61,Not Fraud,6,0.0,1,3,1,0.0,13.0,13,13,7.0,15.0,491,False,False,False,False,0,0
63,Not Fraud,6,0.0,1,4,1,20.0,8.0,8,9,1.0,12.85,2,False,False,False,False,0,0
64,Not Fraud,5,0.0,1,1,1,0.0,8.0,8,8,1.0,35.0,34,False,False,False,False,0,0
68,Not Fraud,6,0.0,1,4,1,0.0,10.0,10,10,1.0,5.0,1,False,False,False,False,0,0
80,Not Fraud,0,0.0,1,1,1,0.0,14.0,14,14,1.0,250.0,30,False,False,False,False,0,0
84,Not Fraud,0,0.0,0,3,1,0.0,0.0,0,0,1.0,4112.55,1,False,False,False,False,0,0
92,Not Fraud,0,0.0,0,5,1,0.0,1.0,1,1,1.0,250.0,1,False,False,False,False,0,0
96,Not Fraud,6,0.0,1,4,1,11.0,9.0,9,9,4.0,14.0,12,False,False,False,False,1,0
98,Not Fraud,11,1.0,0,3,1,5.0,3.0,3,3,1.0,0.0,15,False,False,False,False,0,0
104,Not Fraud,5,0.0,1,1,1,0.0,10.0,10,10,1.0,15.0,3,False,False,False,False,0,0
